ano,nome_musica,artista,letra
2006,Ain't No Other Man,Christina Aguilera,"I could feel it from the start
Couldn't stand to be apart
Something 'bout you caught my eye
Somethin' moved me deep inside
Don't know what you did boy but you had it
And I've been hooked ever since
Told my mother, my brother
My sister and my friends
Told the others, my lovers
Both past and present tense
That every time I see you everything starts making sense
Ain't no other man
Can stand
Up next to you
Ain't no other man
On the planet
Does what you do
You're the kinda guy
A girl finds
In a blue moon
You got soul, you got class
You got style, you're badass
Ain't no other man it's true
Ain't no other man but you
Never thought I'd be alright
'Till you came and changed my life
What was cloudy now is clear
You're the light that I need here
You got what I want boy and I want it
So keep on giving it up
So tell your mother, your brother
Your sister and your friends
Tell the others, your lovers
Better not be present tense
'Cause I want everyone to know that you are mine
And no one else's
Ain't no other man
Can stand
Up next to you
Ain't no other man
On the planet
Does what you do
You're the kinda guy
A girl finds
In a blue moon
You got soul, you got class
You got style, you're badass
Ain't no other man it's true
Ain't no other man but you
Ain't no other
Ain't, ain't, no other (other)
Ain't no other
Ain't, ain't, no other (lover)
Ain't no other
I, I, I need no other
Ain't no other man but you
You are there when I'm a mess
You talked me down from every ledge
Give me strength, boy you're the best
You're the only one who's ever passed every test
Ain't no other man
Can stand
Up next to you
Ain't no other man
On the planet
Does what you do
You're the kinda guy
A girl finds
In a blue moon
You got soul, you got class
You got style, you're badass
Ain't no other man it's true
Ain't no other man but you
And now I'm telling you
Said ain't no other man but you
Ain't no other man
Can stand
Up next to you
Ain't no other man
On the planet
Does what you do
You're the kinda guy
A girl finds
In a blue moon
You got soul, you got class
You got style, you're badass
Ain't no other man it's true
Ain't no other man but you"
1978,For Once In My Life,Stevie Wonder,"For once in my life I have someone who needs me
Someone I've needed so long
For once, unafraid, I can go where life leads me
And somehow I know I'll be strong
For once I can touch what my heart used to dream of
Long before I knew
Someone warm like you
Would make my dreams come true
For once in my life I won't let sorrow hurt me
Not like it hurt me before
For once, I have something I know won't desert me
I'm not alone anymore
For once, I can say, this is mine, you can't take it
As long as I know I have love, I can make it
For once in my life, I have someone who needs me"
1964,Um Leão Está Solto nas Ruas,Roberto Carlos,"Um leão está solto nas ruas
Foi descuido do seu domador
Sei que ele está faminto
Não come desde ontem
Preciso encontrar o meu amor
Um leão está solto nas ruas
Já faz um dia que ele fugiu
A turma está aflita
Pra vê-lo outra vez
Na jaula de onde ele saiu
Você, que está em casa, um conselho vou dar:
Feche as janelas, tranque bem o portão
Pois num dado momento sem ninguém esperar
Pode aparecer o tal leão, ha
Mas um leão está solto nas ruas
Calamidade igual nunca vi
Jamais terá problemas
De alimentação
Se ele encontra o meu broto por aí
Você, que está em casa, um conselho vou dar:
Feche as janelas, tranque bem o portão
Pois num dado momento sem ninguém esperar
Pode aparecer o tal leão, ha
Um leão está solto nas ruas
Calamidade igual nunca vi
Jamais terá problemas
De alimentação
Se ele encontra o meu broto por aí
Se ele encontra o meu broto por aí"
2009,Agenda,Belo,"Ornela:
Sei que pra você eu sou apenas mais um número
De uma agenda qualquer.
Com o nome trocado pra ninguém saber quem é
E quando me atende falando de um assunto que não tem nada a ver
Já sei que está dizendo que a sua namorada está perto de você
Ninguém vai entender porque te aceito assim
Mas ficar sem você é bem pior para mim
Conselhos de amor, cansei de escutar
Quem não se apaixonou,
Não pode me julgar
Dizer que eu estou errada
Deixa eu errar
Pra esse amor, quero me entregar
Quem sabe o meu dia vai chegar
Porque a vida sem você não faz sentido
Deixa eu tentar
É perigoso mas vou arriscar
Com toda a minha força vou lutar
Pra você ficar só comigo.
Belo:
Sei que você pensa que é apenas mais um número
Numa agenda qualquer
Com o nome trocado pra ninguém saber quem é
E quando eu te atendo falando de um assunto que não tem nada a ver
É que minha namorada tá sempre do meu lado
Mas eu quero você
Ninguém vai entender porque te aceito assim
Mas ficar sem você é bem pior para mim
Conselhos de amor, cansei de escutar
Quem não se apaixonou, não pode me julgar
Dizer que estou errado
Deixa eu errar
Pra esse amor eu quero me entregar
Quem sabe o meu dia vai chegar
Porque a vida sem você não faz sentido
Deixa eu tentar
É perigoso mas vou arriscar
Com toda a minha força vou lutar
Pra poder ficar só contigo."
1991,Coming Out Of The Dark,Monster High,"I've spent my life in the shadows
Creepin' 'round the corners
Tryin' to find a home to land
I've spent my nights feelin' lonely
Dreamin' of what could be
But this is where I take my stand
I might be nervous, but I'm an optimist
It's an adventure, ready to take the risk
Lookin' for monsters, lookin' for family
Could this be what I've been waiting for?
This is what I've been waiting for
Here I am, I'm comin' out of the dark (oh, oh)
Not afraid to show my secrets or my scars (oh, oh)
This is where I'm finally free
This is where I'm meant to be
Here I am, I'm comin' out of the dark
Out of the dark
So this is it, back at school, still livin' by his rules
How can I find some air to breathe?
I'm not a king, that's him, and no one tells him: No
I just need a chance to find my wings
I might be nervous, but I'm an optimist
It's an adventure, ready to take the risk
I see the monsters, they look like family
This is what I've been waitin' for
Here I am, I'm comin' out of the dark (oh, oh)
Not afraid to show my secrets or my scars (oh, oh)
This is where I'm finally free
This is where I'm meant to be
Here I am, I'm comin' out of the dark
Out of the dark
I might be nervous, but I'm an optimist
It's an adventure, ready to take the risk
I see the monsters, they look like family
This is what I've been waitin' for
Here I am, I'm comin' out of the dark (oh, oh)
Not afraid to show my secrets or my scars (oh, oh)
This is where I'm finally free
This is where I'm meant to be
Here I am, I'm comin' out of the dark
Out of the dark"
1995,Trilhas,Guilherme Arantes,"traços de nanquim
não se apagam com o tempo
se era frágil assim
porque é o mesmo sentimento ?
trilhas que o amor deixa em nós
quem vai silenciar nossa canção ?
se você fingiu
não ter volta essa viagem
uma lágrima traiu
e escorreu na maquiagem
trilhas que o amor abre em nós
quem vai poder fechar vem me guiar
quando a noite cai
cartões postais
ruas que eu andei
que adianta eu percorrer
se não me trazem mais
você ? oo-oo-o
trilhas que o amor abre em nós
quem vai poder fechar pelo pouco que sei, foi demais"
1963,Wipe Out,Raimundos,"Corte na vala moleque doido rasgando feito uma bala
O toco podre roda o leque e se dormir lá dentro o sono some
É no barril que a gente esquece do nome
Que o couro come e o pau rela no chão que rala
Pra entrar você não é tão forte quanto pensa
A reza é braba Iemanjá foi quem mandou a bença
Para te lavar chegou a sua vez de ir pro fundo
Pegue ar e se prepare pra acordar em outro mundo
Wipe Out eu não consigo varar
Wipe Out é a maquina de lavar
Wipe Out eu te falei que a bancada aqui é rasa
Wipe Out eu não consigo varar
Wipe Out a betoneira do mar
Wipe Out bate uma foto, eu preciso de uma foto
Se eu fosse você botava pra baixo ia lascar o peito no deck dafrente
Cortava mostrando os dentes com o pé na cabeça braço nascostas
Eu te falei que eu só deixo ficar aqui gente que gosta
A diversão é o principal, a seleção é natural
Pra ficar com a mente limpa uma lavada com água e sal
Pensa logo, corre logo e vare antes que ela cresça
Me mandaram jogar mais uma série na sua cabeça
Wipe Out eu não consigo varar
Wipe Out é a maquina de lavar
Wipe Out eu te falei que a bancada aqui é rasa
Wipe Out eu não consigo varar
Wipe Out a betoneira do mar
Wipe Out bate uma foto, eu preciso de uma foto"
1996,Recado À Minha Amada (Lua Vai),Katinguelê,"Lua vai
Iluminar os pensamentos dela
Fala pra ela que sem ela eu não vivo
Viver sem ela é o meu pior castigo
Vai dizer
Que se ela for eu vou sentir saudades
Dos velhos tempos que a felicidade
Reinava em nossos pensamentos
Lua
Lua vai
Iluminar os pensamentos dela
Fala pra ela que sem ela eu não vivo
Viver sem ela é o meu pior castigo
Vai dizer
Que se ela for eu vou sentir saudades
Dos velhos tempos que a felicidade
Reinava em nossos pensamentos
Lua
Lua vai dizer
Que a minha paz depende da vontade
E da bondade vinda dessa moça
Em perdoar meus sentimentos
Lua
Ora vai dizer
Que ela sem mim não tem felicidade
Que moça igual não há pela cidade
Mande o recado a minha amada, oh Lua
Lua vai
Iluminar os pensamentos dela
Fala pra ela que sem ela eu não vivo
Viver sem ela é o meu pior castigo
Vai dizer
Que se ela for eu vou sentir saudades
Dos velhos tempos que a felicidade
Reinava em nossos pensamentos
Lua
Lua vai dizer
Que a minha paz depende da vontade
E da bondade vinda dessa moça
Em perdoar meus sentimentos
Lua
Ora vai dizer
Ela sem mim não tem felicidade
Que moça igual não há pela cidade
Mande o recado a minha amada, oh Lua
Lua vai
Iluminar os pensamentos dela
Fala pra ela que sem ela eu não vivo
Viver sem ela é o meu pior castigo
Vai dizer
Que se ela for eu vou sentir saudades
Dos velhos tempos que a felicidade
Reinava em nossos pensamentos
Lua"
1987,Eu Gosto De Mulher,Ultraje a Rigor,"Vou te contar o que me faz andar
Se não é por mulher não saio nem do lugar
Eu já não tento nem disfarçar
Que tudo que eu me meto é só pra impressionar
Mulher de corpo inteiro
Não fosse por mulher eu nem era roqueiro
Mulher que se atrasa, mulher que vai na frente
Mulher dona de casa, mulher pra presidente
Mulher de qualquer jeito
Você sabe que eu adoro um peito
Peito pra dar de mamar
E peito só pra enfeitar
Mulher faz bem pra vista
Tanto faz se ela é machista ou se é feminista
Cê pode achar que é um pouco de exagero
Mas eu sei lá, nem quero saber
Eu gosto de mulher, eu gosto de mulher
Eu gosto de mulher
Ooo ooo ooo oo
Eu gosto é de mulher!
Ooo ooo ooo oo
Eu gosto é de mulher!
Ooo ooo ooo oo
Eu gosto é de mulher!
Ooo ooo ooo oo
Eu gosto é de mulher!
Ooo ooo ooo oo
Eu gosto é de mulher!
Nem quero que você me leve a mal
Eu sei que hoje em dia isso nem é normal
Eu sou assim meio atrasadão
Conservador, reacionário e caretão
Pra quê ser diferente
Se eu fico sem mulher eu fico até doente
Mulher que lava roupa, mulher que guia carro
Mulher que tira a roupa, mulher pra tirar sarro
Mulher eu já provei
Eu sei que é bom demais, agora o resto eu não sei
Sei que eu não vou mudar
Sei que eu não vou nem tentar
Desculpe esse meu defeito
Eu juro que não é bem preconceito
Eu tenho amigo homem, eu tenho amigo gay
Olha eu sei lá, eu sei que eu não sei
Eu gosto é de mulher
Eu gosto é de mulher
Eu adoro mulher!
Eu não vivo sem mulher!"
1964,Filme Triste,Chico César,"Meu broto me avisou que ia estudar
E ao cinema eu fui me distrair
E ao chegar nem pude acreditar
Eu vi meu bem sentado com alguém em frente a mim
Os dois agarradinhos eu notei
A minha melhor amiga me traiu
Trocavam beijos que eu quase morri
E do principio ao fim do filme eu chorei
Oh oh oh, filme triste que me fez chorar
Oh oh oh filme triste que me fez chorar
E ao chegar em casa mamãe viu
Os meus olhos vermelhos de chorar
E abraçada a ela eu expliquei
Mamãe o filme foi tão triste que eu chorei
Oh oh oh, filme triste que me fez chorar
Oh oh oh filme triste que me fez chorar
Filme triste que me fez chorar"
1960,Devolva-Me,Adriana Calcanhotto,"Rasgue as minhas cartas
E não me procure mais
Assim será melhor, meu bem!
O retrato que eu te dei
Se ainda tens, não sei
Mas se tiver, devolva-me!
Deixe-me sozinho
Porque assim
Eu viverei em paz
Quero que sejas bem feliz
Junto do seu novo rapaz
Rasgue as minhas cartas
E não me procure mais
Assim vai ser melhor, meu bem!
O retrato que eu te dei
Se ainda tens, não sei
Mas se tiver, devolva-me!
O retrato que eu te dei
Se ainda tens, não sei
Mas se tiver
Devolva-me!
Devolva-me!
Devolva-me!"
1990,All I Wanna Do Is Make Love to You,Heart,"It was a rainy night
When he came into sight
Standing by the road
No umbrella, no coat
So I pulled up along side
And I offered him a ride
He accepted with a smile
So we drove for a while
I didn't ask him his name
This lonely boy in the rain
Fate tell me it's right
Is this love at first sight
Please don't make it wrong
Just stay for the night
All I wanna do is make love to you
Say you will
You want me too
All I wanna do is make love to you
I've got lovin' arms
To hold on to
So we found this hotel
It was a place I knew well
We made magic that night
Oh, he did everything right
He brought the woman out of me
So many times, easily
And in the morning when he woke
All I left him was a note
I told him I am the flower
You are the seed
We walked in the garden
We planted a tree
Don't try to find me
Please don't you dare
Just live in my memory
You'll always be there
All I wanna do is make love to you
One night of love
Was all we knew
All I wanna do is make love to you
I've got lovin' arms
To hold on to
Oh (ooh)
We made love
Love like strangers
All night long
We made love
Then it happened one day
We came round the same way
You can imagine his surprise
When he saw his own eyes
I said, please, please understand
I'm in love with another man
And what he couldn't give me
Ohh, oh, oh
Was the one little thing that you can
All I wanna do is make love to you
One night of love (all I want to do)
Was all we knew
All I want to do is make love to you
Come on, say you will
You want me too (all I want to do)
All I wanna do is make love to you
One night of love
Was all we knew (all I want to do)
All I want to do is make love to you
Say you will baby
(All I want to do)
You want me too
All night long
(All I want to do is make love to you)
All night long
(All I want to do)
All night long
(All I want to do is make love to you)
All night long
All I wanna do
All I wanna do
(All I want to do is make love to you)
All I wanna do
All I wanna do
All I wanna do
All I wanna do is make love to you
One night of love
Was all we knew
(All I wanna do)
(All I wanna do is make love to you)
All night long
(All I wanna do)
All night long"
1976,Second Chance,Rend Collective,"My future hangs on this
You make preciousness from dust
Please don't
Stop creating me
Your blood offers the chance
To rewind to innocence
Reborn
Perfect as a child
Oh Your cross it changes everything
There my world begins again with You
Oh Your cross it's where my hope restarts
A second chance is Heaven's heart
When sin and ugliness
Collide with redemption's kiss
Beauty
Awakens by romance
Always inside this mess
I have found forgiveness
Mercy
As infinite as You
Countless second chances
We've been given at the cross
Fragments of brokenness
Salvaged by the art of grace
You craft
Life from our mistakes
Black skies of my regrets
Outshone by this kindness
New life
Dawns over my soul"
1962,Obá,Soweto,"Ôh, ôh, ôh
Está para amanhecer
Obá, obá, obá
Nada é mera ilusão
Obá, obá, obá
Com preguiça a vida passa
Verdejando meu olhar
Por Deus estico a rede de pescar
Dá até ""prum"" sonho viajar
Um rio e eu sem afobar
Eu já me acostumei
Obá, obá, obá
Com sua santa aparição
Obá, obá, obá
Em cores pintando as palmeiras
E a vida do lugar
Lá vem, lavar a vida sem cessar
Estende o tempo pra quarar
Um rio e eu sem afobar
Reluz enfim areia branca
Está para amanhecer
Ôh, ôh, ôh
Ôh, ôh, ôh
Ôh, ôh, ôh"
1996,Papel de Chiclete,Gian e Giovani,"Você pode não acreditar, mas ainda te amo
Você pode não acreditar, mas ainda te quero
Desde o dia em que você partiu que eu sempre te espero
Quantas vezes no meio da noite acordo e te chamo
Ainda tenho guardado comigo sua fotografia
Sem contar lindas cartas de amor
Que tanto nos unia
Você pode não acreditar, mas eu nunca deixei de te amar
Será que deixei me levar por uma fantasia?
Eu ainda não troquei a chave do apartamento
Você pode entrar a qualquer momento
Que eu sempre estou pra matar seus desejos
Eu ainda conservo na sala o mesmo carpete
E no chão o papel de chiclete
Que adoçou nosso último beijo"
1959,Este Seu Olhar,Tom Jobim,"Este seu olhar quando encontra o meu
Fala de umas coisas
Que eu não posso acreditar
Doce é sonhar, é pensar que você
Gosta de mim como eu de você
Mas a ilusão quando se desfaz
Dói no coração de quem sonhou
Sonhou demais, ah! se eu pudesse entender
O que dizem os seus olhos"
1989,When I See You Smile,Bad English,"Sometimes I wonder
How I'd ever make it through
Through this world without having you
I just wouldn't have a clue
'Cause sometimes it seems
Like this world's closing in on me
And there's no way of breaking free
And then I see you reach for me
Sometimes I wanna give up
I wanna give in
I wanna quit the fight
And then I see you, baby
And everything's alright
Everything's alright
When I see you smile
I can face the world
You know I can do anything
When I see you smile
I see a ray of light, oh oh
I see it shining right through the rain
When I see you smile
Baby, when I see you smile at me
Baby, there's nothing in this world
That could ever do
What a touch of your hand can do
It's like nothing that I ever knew
And when the rain is falling, I don't feel it
'Cause you're here with me now
And one look at you, baby
Is all I'll ever need, is all I'll ever need
When I see you smile
I can face the world
You know I can do anything
When I see you smile
I see a ray of light, oh oh
I see it shining right through the rain
When I see you smile, baby
Baby, when I see you smile at me
Sometimes I wanna give up
I wanna give in
I wanna quit the fight
Then one look at you, baby
And everything's alright
Everything's alright, so right
When I see you smile
I can face the world
You know I can do anything
When I see you smile
I see a ray of light
I see it shining right through the rain
When I see you smile
Yeah, I can face the world
You know I can do anything
When I see you smile
Baby, when I see you smile
Smile at me"
1958,Gondolier,Dalida,"Autre version:</small>La, la la la la la la la la la la la.La, la la la la la la la la la la laGondolier t'en souviens tuLes pieds nus, sur ta gondoleTu chantais la barcarolleTu chantais pour lui et moiLui et moi tu te rappellesLui et moi c'était écritPour la vie la vie si belleGondolier quand tu chantaisLa, la la la la la la la la la la laLA, la la la la la la la la la la laIo ti amo con tutt il cuorSolo ate adoreroE sappendo che tu mi amiTi amero, mol ti di piuCet air là était le notreGondolier si tu le voisDans les bras, les bras d'une autreGondolier ne chante pasLa, la la la la la la la la la la laLa, la la la la la la la la la la laLa, la la la la la la la la la la la la la la"
1982,The Other Woman,Lana Del Rey,"The other woman
Has time to manicure her nails
The other woman
Is perfect where her rival fails
And she’s never seen with pin curls
In her hair, anywhere
The other woman
Enchants her clothes with french perfume
The other woman
Keeps fresh cut flowers in each room
There are never toys that's scattered everywhere
And when her old man comes to call
He'll find her waiting like a lonesome queen
‘Cause to be by her side
It’s such a change from old routine
The other woman
Will always cry herself to sleep
The other woman
Will never have his love to keep
And as the years go by
The other woman
Will spend her life alone
Alone
Alone"
1980,Just Like You Do,Carly Simon,"If you think you're alone
that you're the only one who is afraid
Let me tell you, I feel just like you do
And sometimes I stand back
From desires and dreams I don't understand
They overwhelm me
I feel just like you do
I feel just like you do
I feel just like you do
Just like you do
Just like you do
I feel just like you do
Just like you do
I feel just like you do
And when it comes to love
You want me to be the one to say
The words: I love you
But I feel just like you do
But let's try to return
To that brave innocence we once knew
I wish you were an ocean
So I could jump into you"
